Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Early-demographic dividend,EAR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,12008.63796,,,,,10653.08719,,,,,9436.447866,,,,,8359.825708,,,,,7385.13834,,,,,6531.522048,,,,,5798.039358,,,,,5167.472274,,,,,4721.896145,,,,,4352.094229,,,,,4036.030256,,3924.175449,,,,,,
East Asia & Pacific,EAS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,9684.752762,,,,,8583.102708,,,,,7566.876793,,,,,6883.997358,,,,,6380.587995,,,,,5901.271312,,,,,5479.080132,,,,,5162.515458,,,,,4928.732325,,,,,4748.524204,,,,,4584.421605,,4522.053205,,,,,,
Europe & Central Asia (excluding high income),ECA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14039.66818,,,,,13910.46764,,,,,13870.73572,,,,,13499.30024,,,,,13140.62551,,12965.15041,,,,,,
Europe & Central Asia,ECS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8553.897089,,,,,8334.013181,,,,,8978.892481,,,,,8774.877366,,,,,7937.089271,,7861.128756,,,,,,
Ecuador,ECU,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,91990.3327,,,,,79568.17359,,,,,68809.13382,,,,,59915.56564,,,,,52607.81481,,,,,46459.07107,,,,,41283.56424,,,,,37016.42277,,,,,33659.31282,,,,,30944.51342,,,,,28589.70427,,27733.48125,,,,,,
"Egypt, Arab Rep.",EGY,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,64.02901283,,,,,56.15084112,,,,,49.85782349,,,,,44.63224259,,,,,39.52630273,,,,,34.62091065,,,,,30.68174113,,,,,27.73828069,,,,,25.18009257,,,,,23.00845052,,,,,20.82797206,,19.90607562,,,,,,
Euro area,EMU,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,3614.716255,,,,,3464.448392,,,,,3360.180556,,,,,3278.148611,,,,,3218.706445,,,,,3188.349895,,,,,3225.798232,,,,,3165.092619,,,,,3112.717174,,,,,3032.993129,,,,,3001.287836,,2980.865912,,,,,,
Eritrea,ERI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275.522406,,,,,1128.550804,,,,,934.412268,,,,,,,,,,,,,
Spain,ESP,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,3584.395065,,,,,3402.38596,,,,,3213.457776,,,,,3045.604254,,,,,2927.393378,,,,,2874.512906,,,,,2839.800157,,,,,2776.017179,,,,,2683.944446,,,,,2458.719003,,,,,2377.43718,,2392.381453,,,,,,
Estonia,EST,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8290.440685,,,,,9081.587813,,,,,9214.485084,,,,,9480.263747,,,,,9609.161894,,9668.744699,,,,,,
Ethiopia,ETH,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.969349,,,,,1739.326534,,,,,1512.252693,,,,,1315.690556,,1243.70181,,,,,,
European Union,EUU,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,3654.582427,,,,,3502.217051,,,,,3392.298101,,,,,3298.075525,,,,,3230.743183,,,,,3191.320926,,,,,3274.884148,,,,,3180.396399,,,,,3155.714736,,,,,3101.114014,,,,,3080.546062,,3065.401346,,,,,,
Fragile and conflict affected situations,FCS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,28769.25287,,,,,25585.59815,,,,,22632.46693,,,,,19829.22199,,,,,17411.81495,,,,,15525.98931,,,,,13566.98424,,,,,11818.0407,,,,,10470.77481,,,,,9234.467084,,,,,7656.089262,,7296.78631,,,,,,
Finland,FIN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,23823.07869,,,,,23231.86004,,,,,23062.04963,,,,,22579.07,,,,,22167.28511,,,,,21694.51167,,,,,21221.77108,,,,,20817.7889,,,,,20574.557,,,,,20231.73849,,,,,19763.68178,,19591.64422,,,,,,
